ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
ABXX CN,"Abaxx Technologies",operating,true,ABXX.NE,3,true,3,4,true,false,1,true,PARTIAL,thin-price-history
BN US,"Brookfield",operating,true,BN,1,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
BOLSY US,"B3",operating,true,BOLSY,4,true,4,4,true,true,19,true,OK,
CENX US,"Century Aluminum",operating,true,CENX,5,true,4,4,true,true,19,true,OK,
CS CN,"Capstone Copper",operating,true,CS.TO,5,true,4,3,true,true,19,true,OK,
HBM US,"Hudbay Minerals",operating,true,HBM,5,true,4,4,true,true,19,true,OK,
SHLE CN,"Source Energy Services",operating,true,SHLE.TO,5,true,4,4,true,true,19,true,OK,
TGB US,"Taseko Mines",operating,true,TGB,5,true,4,4,true,true,19,true,OK,
TNZ CN,"Tenaz Energy",operating,true,TNZ.TO,4,true,3,4,true,true,19,true,OK,
TOI CN,"Topicus.com",operating,true,TOI.V,5,true,4,3,true,true,19,true,OK,
VLE CN,"Valeura Energy",operating,true,VLE.TO,5,true,4,4,true,true,19,true,OK,
DBG CN,"Doubleview Gold",developer,true,DBG.V,0,true,0,0,false,true,19,true,PARTIAL,no-past-quarters
SCMI CN,"Selkirk Copper Mines",developer,true,SCMI.V,0,true,0,0,false,true,19,true,PARTIAL,no-past-quarters
WRN US,"Western Copper and Gold",developer,true,WRN,0,true,4,4,false,true,19,true,OK,
005930 KS,"Samsung Electronics Co.",operating,false,005930.KS,5,true,4,4,true,true,21,true,OK,
000660 KS,"SK hynix",operating,false,000660.KS,5,true,4,4,true,true,21,true,OK,
005935 KS,"Samsung Electronics Co.",operating,false,005935.KS,4,true,4,4,true,true,21,true,OK,
NVDA80 TB,"NVIDIA",operating,false,NVDA80.BK,0,true,0,4,true,true,21,true,PARTIAL,no-past-quarters
